,caption,filename
0,The model is lower than the silicon data points,testcase_0
0,The model is slightly higher than the silicon data points,testcase_1
0,The model is lower than the silicon data points,testcase_2
0,The model is lower than the silicon data points,testcase_3
0,The model is overlapping with the silicon data points,testcase_4
0,The model is lower than the silicon data points,testcase_5
0,The model is overlapping with the silicon data points,testcase_6
0,The model is slightly higher than the silicon data points,testcase_7
0,The model is higher than the silicon data points,testcase_8
0,The model is overlapping with the silicon data points,testcase_9
